valor,hora,cidade
381,15,Vinhedo
1110,6,São Paulo
566,7,Jundiai
968,14,Valinhos
1019,10,Jundiai
2220,22,Campinas
563,13,São Paulo
1679,13,Jundiai
770,8,Jundiai
617,20,Jundiai
1220,13,Vinhedo
2300,9,Vinhedo
1859,11,Campinas
1068,12,Jundiai
1559,7,Valinhos
1174,19,Valinhos
732,16,Valinhos
366,13,Campinas
1282,13,Campinas
141,10,São Paulo
469,12,Vinhedo
1296,8,Campinas
95,20,Jundiai
2151,19,Vinhedo
2258,9,São Paulo
1582,20,São Paulo
260,23,Vinhedo
1193,19,Vinhedo
829,10,Vinhedo
2415,15,Vinhedo
1811,22,Jundiai
101,7,Jundiai
825,13,Jundiai
1458,20,Campinas
236,20,Jundiai
322,11,Jundiai
110,23,Campinas
2452,10,Jundiai
2198,17,São Paulo
1644,8,Campinas
99,14,Vinhedo
530,18,Valinhos
1439,6,Jundiai
1202,22,Jundiai
1239,13,São Paulo
850,6,Jundiai
853,9,Jundiai
33,14,São Paulo
2186,20,Jundiai
849,22,Vinhedo
633,17,Vinhedo
1496,21,Jundiai
2423,9,Campinas
1983,13,Valinhos
1954,12,Campinas
1142,20,Jundiai
370,22,Campinas
848,15,Vinhedo
1254,23,Campinas
1447,21,Valinhos
1527,23,São Paulo
376,19,São Paulo
1108,11,Campinas
2102,23,São Paulo
337,8,Jundiai
1196,17,São Paulo
1286,23,São Paulo
246,7,São Paulo
50,8,São Paulo
1426,12,Vinhedo
1423,14,Campinas
2238,11,Campinas
880,7,Campinas
1110,6,Valinhos
1959,15,Jundiai
2395,13,Campinas
76,21,São Paulo
1809,21,Vinhedo
1907,20,Vinhedo
1906,10,Vinhedo
1114,16,São Paulo
1937,17,Vinhedo
776,17,São Paulo
1673,7,Jundiai
603,15,Vinhedo
108,19,Campinas
541,14,Campinas
2029,7,São Paulo
629,17,São Paulo
2007,19,Vinhedo
623,16,Campinas
1461,15,Jundiai
1832,21,Vinhedo
1232,8,Campinas
2323,16,Vinhedo
2342,16,Jundiai
1444,6,São Paulo
810,19,Campinas
2227,22,Jundiai
1441,13,Vinhedo
1686,16,Valinhos
1034,21,Valinhos
584,13,Valinhos
381,9,Jundiai
1460,23,São Paulo
1225,17,Jundiai
2093,16,Vinhedo
1408,17,Campinas
1210,21,Campinas
805,16,Jundiai
2014,6,Vinhedo
1032,10,São Paulo
846,19,Vinhedo
1278,20,Vinhedo
616,21,São Paulo
861,17,Jundiai
1508,22,Jundiai
2400,14,Jundiai
2025,20,São Paulo
404,8,São Paulo
1010,10,Campinas
2151,20,Valinhos
293,14,Valinhos
649,19,Vinhedo
1695,20,Jundiai
1155,9,Campinas
1921,18,Campinas
206,8,Valinhos
127,18,São Paulo
1830,10,Vinhedo
1682,13,Jundiai
1740,6,Campinas
2133,8,Valinhos
382,14,São Paulo
2127,22,Campinas
1471,13,Valinhos
1267,13,Campinas
609,18,São Paulo
210,21,Jundiai
1853,19,Valinhos
407,16,Vinhedo
142,14,Jundiai
471,22,Valinhos
1672,6,Vinhedo
2150,8,Valinhos
1466,16,São Paulo
2348,21,Jundiai
1388,6,Valinhos
2338,13,São Paulo
2253,13,Campinas
1307,20,Vinhedo
1452,22,Campinas
1995,19,Vinhedo
1914,11,Campinas
1058,15,Vinhedo
1045,14,Jundiai
1602,22,Vinhedo
1355,8,Campinas
160,7,Campinas
2283,19,Campinas
108,20,Valinhos
2124,21,Campinas
2124,20,Jundiai
2303,18,Jundiai
471,23,Jundiai
373,14,Campinas
2109,16,Campinas
1351,12,Jundiai
1466,23,Vinhedo
457,11,São Paulo
2179,19,Vinhedo
238,7,Vinhedo
2183,15,Jundiai
436,6,Jundiai
718,14,Vinhedo
159,20,Jundiai
243,16,Campinas
2127,12,Campinas
1247,19,São Paulo
1276,23,Campinas
1731,12,Campinas
595,12,Vinhedo
853,23,São Paulo
847,23,Valinhos
605,8,São Paulo
1865,12,Valinhos
1816,22,Campinas
1594,12,Valinhos
372,10,Valinhos
424,16,Jundiai
1058,22,São Paulo
2298,16,Campinas
527,9,São Paulo
993,19,São Paulo
828,7,Campinas
741,17,Jundiai
1854,23,Vinhedo
2131,15,Valinhos
123,21,Jundiai
2496,8,Valinhos
1216,13,São Paulo
2134,19,São Paulo
85,23,São Paulo
1301,9,Vinhedo
738,21,São Paulo
1047,10,Campinas
1640,10,Valinhos
850,18,São Paulo
137,8,Jundiai
1501,15,Campinas
1054,14,Vinhedo
1875,7,Jundiai
2215,13,Campinas
964,15,São Paulo
1154,10,Vinhedo
887,10,São Paulo
316,19,Vinhedo
1896,18,Campinas
392,13,Jundiai
2361,19,Vinhedo
808,6,Valinhos
928,22,Vinhedo
2351,22,Campinas
845,18,Vinhedo
2360,8,Jundiai
1310,21,Valinhos
25,7,Valinhos
1182,6,Jundiai
2436,14,Jundiai
724,9,Vinhedo
1872,11,Campinas
1151,7,Jundiai
2499,6,São Paulo
205,21,Jundiai
1454,15,São Paulo
691,22,Jundiai
1635,8,Valinhos
405,14,Vinhedo
184,22,São Paulo
1321,11,Jundiai
263,19,Valinhos
2358,18,Vinhedo
874,10,São Paulo
404,16,São Paulo
1625,8,Campinas
1726,10,Campinas
1958,9,Vinhedo
1498,7,Vinhedo
1419,21,Valinhos
2191,19,Jundiai
1011,8,São Paulo
1156,17,Valinhos
1822,14,Campinas
883,11,Campinas
1613,15,Jundiai
525,18,São Paulo
665,21,Valinhos
1108,14,São Paulo
1873,13,Valinhos
411,18,Campinas
1821,9,Campinas
1557,12,Valinhos
1993,13,Campinas
1835,6,Vinhedo
405,7,Vinhedo
1813,6,Valinhos
1911,11,Campinas
1246,21,Valinhos
899,21,Campinas
841,7,São Paulo
1134,10,São Paulo
450,13,Campinas
2067,12,Campinas
2338,23,Vinhedo
1188,20,Vinhedo
109,7,Valinhos
429,15,Jundiai
1651,22,Campinas
1836,20,São Paulo
1911,12,Valinhos
1400,10,Valinhos
242,21,São Paulo
27,15,São Paulo
2188,22,Jundiai
714,12,Valinhos
2211,10,São Paulo
868,8,Vinhedo
2070,21,Jundiai
577,16,São Paulo
362,18,Valinhos
235,23,Vinhedo
1298,12,Vinhedo
994,8,São Paulo
1328,20,São Paulo
921,22,Valinhos
607,15,Jundiai
2285,22,Jundiai
1771,13,Vinhedo
564,20,Jundiai
1086,11,Vinhedo
83,12,Jundiai
1061,23,Valinhos
1559,13,Vinhedo
851,13,Vinhedo
1146,8,Valinhos
1932,8,Vinhedo
2008,17,Jundiai
1942,13,Jundiai
809,22,Jundiai
1225,12,Jundiai
1812,16,Jundiai
14,6,Jundiai
1643,12,Jundiai
204,16,Jundiai
1997,15,Valinhos
2347,14,São Paulo
178,19,Vinhedo
2214,6,Jundiai
231,8,Valinhos
579,7,São Paulo
1495,7,Jundiai
1442,18,Vinhedo
1751,6,Valinhos
534,6,Campinas
2143,9,São Paulo
1193,19,Valinhos
2172,14,Vinhedo
2034,13,Valinhos
512,14,Vinhedo
1295,11,Campinas
2459,10,Campinas
1193,17,Campinas
1673,16,Campinas
1720,15,Valinhos
120,15,Jundiai
198,15,Campinas
2251,19,Jundiai
737,13,Valinhos
845,10,Jundiai
2188,13,Vinhedo
1611,10,Vinhedo
1526,17,Vinhedo
288,23,Campinas
629,12,São Paulo
2287,17,Jundiai
1136,21,Jundiai
2481,11,Valinhos
2038,9,Valinhos
1736,16,Jundiai
1099,11,Valinhos
147,23,São Paulo
962,13,Jundiai
1027,15,Campinas
487,15,Jundiai
271,22,Jundiai
2214,22,São Paulo
556,14,Vinhedo
385,22,Campinas
1363,16,Campinas
1892,23,Campinas
814,13,São Paulo
1071,19,Jundiai
1459,23,Valinhos
121,7,Vinhedo
2417,18,Valinhos
337,12,São Paulo
1621,12,Campinas
102,17,Jundiai
1121,21,Valinhos
2432,14,Jundiai
889,21,Campinas
2009,16,Valinhos
1853,15,Valinhos
2091,12,Valinhos
1780,12,São Paulo
863,20,Valinhos
1433,22,Valinhos
521,19,Jundiai
138,23,Vinhedo
2468,14,Campinas
642,14,Jundiai
1781,21,Vinhedo
1088,10,Campinas
932,20,Vinhedo
748,8,Jundiai
1166,19,Campinas
2163,20,Jundiai
1903,23,Campinas
1727,19,Jundiai
609,8,Jundiai
2243,18,Valinhos
1663,6,Valinhos
519,10,Valinhos
693,10,Jundiai
387,9,Valinhos
838,17,Campinas
1304,17,Vinhedo
1002,13,Jundiai
20,10,São Paulo
2083,20,Jundiai
399,15,Jundiai
285,17,Valinhos
1236,21,Campinas
246,20,Campinas
1096,8,Valinhos
978,19,Valinhos
2212,10,Jundiai
1402,19,Vinhedo
1617,23,São Paulo
1132,7,Jundiai
1858,20,Jundiai
1783,19,Campinas
2462,16,Valinhos
658,9,São Paulo
693,8,São Paulo
1616,20,Jundiai
162,23,São Paulo
839,8,Vinhedo
976,15,Vinhedo
730,23,São Paulo
1221,22,Vinhedo
2048,23,São Paulo
1611,6,São Paulo
2378,18,Jundiai
1462,12,Campinas
79,19,Jundiai
1622,17,Jundiai
1109,9,Jundiai
335,22,São Paulo
2434,15,São Paulo
508,14,Valinhos
1441,7,São Paulo
1811,14,Jundiai
103,17,Campinas
1944,17,Jundiai
2137,10,Vinhedo
1453,6,Vinhedo
2402,9,Valinhos
1000,21,Vinhedo
1408,7,Campinas
227,6,Jundiai
480,9,Jundiai
178,8,Vinhedo
1265,12,São Paulo
394,19,São Paulo
1779,19,Valinhos
935,11,Campinas
2021,20,São Paulo
569,19,Valinhos
2352,23,Valinhos
2426,8,São Paulo
1753,15,São Paulo
1797,15,Valinhos
2048,19,Vinhedo
1809,15,São Paulo
2179,22,Campinas
2211,23,Vinhedo
821,7,Vinhedo
659,15,Jundiai
2282,9,Valinhos
286,15,Jundiai
2000,23,Jundiai
1085,12,Campinas
388,21,São Paulo
401,20,Campinas
2103,17,Campinas
53,10,Jundiai
271,22,Jundiai
2273,13,Valinhos
430,18,Campinas
1132,19,Campinas
1129,9,Jundiai
1000,22,Vinhedo
1466,10,São Paulo
2357,21,Valinhos
410,23,Valinhos
931,6,São Paulo
193,6,Campinas
2003,12,Valinhos
1009,22,Campinas
37,23,Jundiai
930,19,Valinhos
1648,23,Campinas
754,14,Valinhos
2005,13,São Paulo
1355,14,Campinas
923,13,Vinhedo
1256,14,São Paulo
520,12,Campinas
360,19,Jundiai
2227,14,Valinhos
1214,13,Jundiai
1897,12,Valinhos
467,16,Jundiai
20,8,Valinhos
665,21,Jundiai
1596,14,São Paulo
185,12,São Paulo
1769,17,Valinhos
1906,8,Campinas
2228,10,Vinhedo
1041,21,Campinas
2236,11,Campinas
886,18,Campinas
131,12,São Paulo
830,20,São Paulo
1477,12,Vinhedo
2148,9,Valinhos
1017,8,Jundiai
1103,9,Valinhos
937,9,Valinhos
1107,16,São Paulo
1975,23,Valinhos
1776,13,Campinas
606,20,Jundiai
464,19,Campinas
1080,9,Valinhos
953,16,Jundiai
1764,20,Valinhos
572,16,Valinhos
1062,9,Valinhos
2183,6,São Paulo
1970,15,Campinas
1993,19,São Paulo
65,10,Vinhedo
2453,21,Campinas
588,14,São Paulo
72,10,Valinhos
854,6,Jundiai
36,9,Campinas
1928,7,São Paulo
750,15,Campinas
1808,6,Jundiai
181,16,Valinhos
470,7,São Paulo
902,19,Jundiai
2070,13,Valinhos
143,21,Valinhos
562,13,Jundiai
1651,14,Campinas
36,8,Vinhedo
67,19,Valinhos
162,8,Campinas
723,11,Jundiai
1774,19,Jundiai
1192,6,Vinhedo
1038,13,Valinhos
2294,18,Vinhedo
1151,21,Jundiai
2058,7,Valinhos
1696,6,Campinas
1718,6,Valinhos
510,19,São Paulo
276,9,Valinhos
2153,14,São Paulo
263,10,Vinhedo
1821,8,Valinhos
2056,6,São Paulo
1048,18,São Paulo
1453,20,Jundiai
1919,11,Vinhedo
628,17,Valinhos
1309,10,Vinhedo
799,19,Vinhedo
1096,13,Campinas
1198,17,Vinhedo
1292,18,Vinhedo
1734,18,Campinas
75,12,Valinhos
1301,8,Vinhedo
94,14,Jundiai
1510,7,Campinas
2197,23,Campinas
1363,9,Campinas
161,8,São Paulo
50,17,Vinhedo
1793,21,Valinhos
1659,13,Jundiai
843,16,Campinas
2095,22,São Paulo
1861,9,Jundiai
2006,13,Vinhedo
2348,17,Vinhedo
1039,23,São Paulo
2495,18,Vinhedo
2011,13,Vinhedo
1718,18,Campinas
916,23,Jundiai
575,16,Vinhedo
2066,8,São Paulo
2409,20,São Paulo
2017,18,Campinas
576,10,Jundiai
1712,15,Valinhos
2355,20,Campinas
1584,10,Jundiai
1647,10,São Paulo
2312,21,Jundiai
1962,11,Valinhos
2433,23,Campinas
1176,6,Jundiai
36,8,Vinhedo
245,11,São Paulo
2232,17,Vinhedo
1849,19,São Paulo
808,7,Campinas
125,21,São Paulo
1238,11,Valinhos
2049,16,Vinhedo
181,9,Valinhos
1596,15,São Paulo
2258,19,Vinhedo
431,14,Valinhos
903,12,Valinhos
1311,11,Campinas
830,17,Jundiai
425,11,Vinhedo
1448,15,São Paulo
1769,13,Jundiai
136,12,Jundiai
1890,6,Campinas
1307,11,Jundiai
443,7,Jundiai
2046,22,Vinhedo
1559,18,Campinas
1390,17,Vinhedo
564,13,São Paulo
2486,21,Jundiai
2172,17,São Paulo
1729,14,Valinhos
1461,21,Valinhos
55,9,Campinas
178,22,São Paulo
1103,20,São Paulo
31,18,São Paulo
637,6,Campinas
67,8,São Paulo
1396,19,Vinhedo
1019,9,Jundiai
1267,14,Jundiai
544,10,Vinhedo
1147,14,Vinhedo
1716,16,São Paulo
1445,16,Valinhos
2073,11,Valinhos
869,7,Campinas
1149,16,Jundiai
439,13,Valinhos
1584,6,São Paulo
2201,6,Jundiai
1857,18,São Paulo
1066,20,São Paulo
1191,11,São Paulo
1423,13,Vinhedo
1811,13,Campinas
2299,13,Vinhedo
1965,18,São Paulo
923,14,Jundiai
29,20,Vinhedo
1915,8,Campinas
544,20,Jundiai
1672,11,Vinhedo
486,22,Jundiai
680,17,Jundiai
525,10,Jundiai
1991,20,Campinas
1318,7,Valinhos
394,13,Campinas
680,15,Vinhedo
205,6,Valinhos
1330,11,Jundiai
1489,11,São Paulo
1701,11,Campinas
437,11,Jundiai
2171,9,Jundiai
44,13,Jundiai
122,14,Valinhos
1813,11,Valinhos
471,11,Valinhos
1491,19,Valinhos
981,18,Valinhos
1308,8,Valinhos
2268,10,Valinhos
364,10,Jundiai
13343,0,Teerã
35151,0,Moscou
35071,2,Teerã
12749,3,Moscou
22096,4,Pequim
15842,4,Moscou
17075,3,Teerã
18612,0,Pequim
34923,4,Moscou
43606,0,Moscou
24217,2,Teerã
13503,2,Pequim
14998,1,Teerã
40206,3,Pequim
35282,3,Pequim
25418,2,Moscou
33223,0,Pequim
24580,0,Teerã
44914,1,Pequim
38709,2,Moscou
48783,3,Moscou
36206,4,Teerã
35215,4,Teerã
34349,3,Teerã
11204,0,Pequim
11623,4,Pequim
44283,2,Teerã
32695,3,Moscou
12957,1,Pequim
27252,4,Teerã
24478,0,Moscou
47225,0,Pequim
14998,4,Moscou
18046,0,Pequim
27744,3,Moscou
42791,2,Teerã
30402,2,Teerã
45651,1,Pequim
13542,0,Teerã
46472,3,Moscou
25649,4,Moscou
13941,0,Moscou
41031,4,Pequim
45826,0,Teerã
28570,4,Teerã
32834,0,Moscou
24881,3,Moscou
32869,0,Pequim
36933,0,Teerã
14967,1,Moscou
